id,name,class,rarity,cost,type,keywords,icon,effects,textTemplate,upgrade,damageSchool,exposureBuildupPerHit,staminaCost,manaCost,flavor
"""starlance""","""Starlance""","""starseer""","""common""",2,"""attack""",[],"""🏹""","[{""op"":""damage"",""target"":""enemy"",""amount"":9,""if"":{""p"":""not"",""pred"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}}},{""op"":""damage"",""target"":""enemy"",""amount"":13,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage. Starstone: {damage.2} instead.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":12,""if"":{""p"":""not"",""pred"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}}},{""op"":""damage"",""target"":""enemy"",""amount"":17,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""twinkling""","""Twinkling""","""starseer""","""common""",0,"""skill""",[],"""✨""","[{""op"":""draw"",""amount"":1},{""op"":""gainEnergy"",""amount"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Draw {draw} card. Starstone: gain {gainEnergy} Energy.""","{""effects"":[{""op"":""draw"",""amount"":2},{""op"":""gainEnergy"",""amount"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}",,,,,
"""frostNova""","""Frost Nova""","""starseer""","""common""",1,"""attack""",[],"""❄""","[{""op"":""damage"",""target"":""enemy"",""amount"":4},{""op"":""applyStatus"",""target"":""enemy"",""status"":""frost"",""stacks"":4},{""op"":""applyStatus"",""target"":""enemy"",""status"":""frost"",""stacks"":3,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage. Apply {frost} Frost. Starstone: apply {frost.2} more.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":6},{""op"":""applyStatus"",""target"":""enemy"",""status"":""frost"",""stacks"":5},{""op"":""applyStatus"",""target"":""enemy"",""status"":""frost"",""stacks"":4,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""starstoneArc""","""Starstone Arc""","""starseer""","""uncommon""",1,"""attack""",[],"""⚡""","[{""op"":""damage"",""target"":""enemy"",""amount"":7},{""op"":""applyStatus"",""target"":""enemy"",""status"":""vulnerable"",""stacks"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage. Starstone: apply {vulnerable} Vulnerable.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":9},{""op"":""applyStatus"",""target"":""enemy"",""status"":""vulnerable"",""stacks"":2,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""lucidity""","""Lucidity""","""starseer""","""uncommon""",1,"""skill""",[],"""🌙""","[{""op"":""gainEnergy"",""amount"":1},{""op"":""draw"",""amount"":1},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Gain {gainEnergy} Energy. Draw {draw} card.""","{""effects"":[{""op"":""gainEnergy"",""amount"":1},{""op"":""draw"",""amount"":2},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}",,,,,
"""stargazerCard""","""Stargazer""","""starseer""","""uncommon""",1,"""power""",[],"""🔭""","[{""op"":""applyStatus"",""target"":""self"",""status"":""stargazer"",""stacks"":{""f"":""add"",""args"":[1]}}]","""At the start of your turn, gain Starstone Charge.""","{""cost"":0}",,,,,
"""astralArmorCard""","""Astral Armor""","""starseer""","""uncommon""",1,"""power""",[],"""🌌""","[{""op"":""applyStatus"",""target"":""self"",""status"":""astralArmor"",""stacks"":{""f"":""add"",""args"":[1]}}]","""At the end of your turn, gain 4 Block.""","{""effects"":[{""op"":""applyStatus"",""target"":""self"",""status"":""astralArmor"",""stacks"":{""f"":""add"",""args"":[2]}}],""textTemplate"":""At the end of your turn, gain 8 Block.""}",,,,,
"""moonrendCut""","""Moonrend Cut""","""starseer""","""uncommon""",2,"""attack""",[],"""🌒""","[{""op"":""damage"",""target"":""enemy"",""amount"":8},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":6},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage and {poiseDamage} Poise damage.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":11},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":8},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""meteorite""","""Meteorite""","""starseer""","""uncommon""",3,"""attack""",[],"""🪨""","[{""op"":""damage"",""target"":""enemy"",""amount"":18,""if"":{""p"":""not"",""pred"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}}},{""op"":""damage"",""target"":""enemy"",""amount"":24,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage. Starstone: {damage.2} instead.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":22,""if"":{""p"":""not"",""pred"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}}},{""op"":""damage"",""target"":""enemy"",""amount"":30,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""meteorSwarm""","""Meteor Swarm""","""starseer""","""uncommon""",2,"""attack""",[],"""☄""","[{""op"":""damage"",""target"":""allEnemies"",""amount"":5},{""op"":""damage"",""target"":""allEnemies"",""amount"":5,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage to ALL enemies. Starstone: {damage.2} again.""","{""effects"":[{""op"":""damage"",""target"":""allEnemies"",""amount"":7},{""op"":""damage"",""target"":""allEnemies"",""amount"":7,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""gravityWell""","""Gravity Well""","""starseer""","""uncommon""",2,"""skill""",[],"""🕳""","[{""op"":""applyStatus"",""target"":""allEnemies"",""status"":""vulnerable"",""stacks"":2},{""op"":""applyStatus"",""target"":""allEnemies"",""status"":""weak"",""stacks"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Apply {vulnerable} Vulnerable to ALL enemies. Starstone: apply {weak} Weak to ALL.""","{""effects"":[{""op"":""applyStatus"",""target"":""allEnemies"",""status"":""vulnerable"",""stacks"":3},{""op"":""applyStatus"",""target"":""allEnemies"",""status"":""weak"",""stacks"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}",,,,,
"""azureCoilCard""","""Azure Coil""","""starseer""","""uncommon""",1,"""power""",[],"""🌀""","[{""op"":""applyStatus"",""target"":""self"",""status"":""azureCoil"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Whenever you play a Skill, gain 2 Block.""","{""cost"":0}",,,,,
"""astralCleave""","""Astral Cleave""","""starseer""","""uncommon""",2,"""attack""",[],"""⚔""","[{""op"":""damage"",""target"":""enemy"",""amount"":10},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":8},{""op"":""damage"",""target"":""enemy"",""amount"":5,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage and {poiseDamage} Poise damage. Starstone: deal {damage.2} more.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":13},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":10},{""op"":""damage"",""target"":""enemy"",""amount"":5,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""radiantSpray""","""Radiant Spray""","""starseer""","""uncommon""",2,"""attack""",[],"""🎇""","[{""op"":""damage"",""target"":""allEnemies"",""amount"":4},{""op"":""applyStatus"",""target"":""allEnemies"",""status"":""vulnerable"",""stacks"":1},{""op"":""damage"",""target"":""allEnemies"",""amount"":4,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} to ALL enemies. Apply {vulnerable} Vulnerable to ALL. Starstone: deal {damage.2} to ALL again.""","{""effects"":[{""op"":""damage"",""target"":""allEnemies"",""amount"":6},{""op"":""applyStatus"",""target"":""allEnemies"",""status"":""vulnerable"",""stacks"":1},{""op"":""damage"",""target"":""allEnemies"",""amount"":6,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""supernova""","""Supernova""","""starseer""","""rare""","""X""","""attack""",[],"""💥""","[{""op"":""damage"",""target"":""allEnemies"",""amount"":8,""hits"":{""f"":""energySpent""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage to ALL enemies once per Energy spent.""","{""effects"":[{""op"":""damage"",""target"":""allEnemies"",""amount"":10,""hits"":{""f"":""energySpent""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""timeDilation""","""Time Dilation""","""starseer""","""rare""",2,"""skill""","[""exhaust""]","""⏳""","[{""op"":""gainEnergy"",""amount"":2},{""op"":""draw"",""amount"":3},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Gain {gainEnergy} Energy. Draw {draw} cards. Exhaust.""","{""keywords"":[],""textTemplate"":""Gain {gainEnergy} Energy. Draw {draw} cards.""}",,,,,
"""starstoneKris""","""Starstone Kris""","""starseer""","""rare""",1,"""attack""",[],"""🔪""","[{""op"":""damage"",""target"":""enemy"",""amount"":5},{""op"":""draw"",""amount"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""damage"",""target"":""enemy"",""amount"":5,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage. Starstone: draw {draw} card and deal {damage.2} again.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":7},{""op"":""draw"",""amount"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""damage"",""target"":""enemy"",""amount"":7,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""constellationCard""","""Constellation""","""starseer""","""rare""",2,"""power""",[],"""💫""","[{""op"":""applyStatus"",""target"":""self"",""status"":""constellation"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Whenever you gain Starstone Charge, deal 4 damage to a random enemy.""","{""cost"":1}",,,,,
"""starfallBeam""","""Starfall Beam""","""starseer""","""rare""",3,"""attack""",[],"""🔆""","[{""op"":""damage"",""target"":""allEnemies"",""amount"":12,""if"":{""p"":""not"",""pred"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}}},{""op"":""damage"",""target"":""allEnemies"",""amount"":20,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage to ALL enemies. Starstone: {damage.2} instead.""","{""effects"":[{""op"":""damage"",""target"":""allEnemies"",""amount"":16,""if"":{""p"":""not"",""pred"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}}},{""op"":""damage"",""target"":""allEnemies"",""amount"":26,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""starcaller""","""Starcaller""","""starseer""","""rare""","""X""","""attack""",[],"""⭐""","[{""op"":""damage"",""target"":""enemy"",""amount"":6,""hits"":{""f"":""energySpent""}},{""op"":""damage"",""target"":""enemy"",""amount"":8,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage once per Energy spent. Starstone: deal {damage.2} more.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":8,""hits"":{""f"":""energySpent""}},{""op"":""damage"",""target"":""enemy"",""amount"":10,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""umbralWard""","""Umbral Ward""","""starseer""","""rare""",2,"""skill""",[],"""🌑""","[{""op"":""block"",""target"":""self"",""amount"":20,""if"":{""p"":""not"",""pred"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}}},{""op"":""block"",""target"":""self"",""amount"":30,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Gain {block} Block. Starstone: {block.2} instead.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":26,""if"":{""p"":""not"",""pred"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}}},{""op"":""block"",""target"":""self"",""amount"":38,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}",,,,,
"""waxingMoonCard""","""Waxing Moon""","""starseer""","""rare""",2,"""power""",[],"""🌕""","[{""op"":""applyStatus"",""target"":""self"",""status"":""waxingMoon"",""stacks"":{""f"":""add"",""args"":[1]}}]","""At the start of your turn, apply 2 Vulnerable to ALL enemies.""","{""cost"":1}",,,,,
"""shootingShard""","""Shooting Shard""","""starseer""","""common""",0,"""attack""",[],"""💫""","[{""op"":""damage"",""target"":""enemy"",""amount"":4},{""op"":""damage"",""target"":""enemy"",""amount"":3,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage. Starstone: deal {damage.2} more.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":5},{""op"":""damage"",""target"":""enemy"",""amount"":4,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""wardingStar""","""Warding Star""","""starseer""","""common""",1,"""skill""",[],"""⭐""","[{""op"":""block"",""target"":""self"",""amount"":6},{""op"":""draw"",""amount"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Gain {block} Block. Starstone: draw {draw} card.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":8},{""op"":""draw"",""amount"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}",,,,,
"""starPath""","""Star Path""","""starseer""","""uncommon""",1,"""skill""",[],"""🌌""","[{""op"":""draw"",""amount"":1},{""op"":""draw"",""amount"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Draw {draw} card. Starstone: draw {draw.2} more.""","{""effects"":[{""op"":""draw"",""amount"":2},{""op"":""draw"",""amount"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}",,,,,
"""moonlitShieldCard""","""Moonlit Shield""","""starseer""","""uncommon""",1,"""power""",[],"""🔷""","[{""op"":""applyStatus"",""target"":""self"",""status"":""moonlitShield"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Whenever you gain Starstone Charge, gain 3 Block.""","{""cost"":0}",,,,,
"""celestialLance""","""Celestial Lance""","""starseer""","""rare""",2,"""attack""",[],"""🔱""","[{""op"":""damage"",""target"":""enemy"",""amount"":10,""if"":{""p"":""not"",""pred"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}}},{""op"":""damage"",""target"":""enemy"",""amount"":22,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage. Starstone: {damage.2} instead.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":13,""if"":{""p"":""not"",""pred"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}}},{""op"":""damage"",""target"":""enemy"",""amount"":28,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""astromancerCard""","""Astromancer""","""starseer""","""rare""",1,"""power""",[],"""📚""","[{""op"":""applyStatus"",""target"":""self"",""status"":""astromancer"",""stacks"":{""f"":""add"",""args"":[1]}}]","""At the start of your turn, gain Starstone Charge and draw a card.""","{""cost"":0}",,,,,
"""starSpark""","""Star Spark""","""starseer""","""common""",1,"""attack""",[],"""✨""","[{""op"":""damage"",""target"":""enemy"",""amount"":5},{""op"":""applyStatus"",""target"":""enemy"",""status"":""weak"",""stacks"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage. Starstone: apply {weak} Weak.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":7},{""op"":""applyStatus"",""target"":""enemy"",""status"":""weak"",""stacks"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""astralInsight""","""Astral Insight""","""starseer""","""uncommon""",1,"""skill""",[],"""🌠""","[{""op"":""block"",""target"":""self"",""amount"":5},{""op"":""draw"",""amount"":1},{""op"":""draw"",""amount"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Gain {block} Block. Draw {draw} card. Starstone: draw {draw.2} more.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":7},{""op"":""draw"",""amount"":1},{""op"":""draw"",""amount"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}",,,,,
"""urgentHeal""","""Urgent Heal""","""herald""","""starter""",1,"""skill""",[],"""✚""","[{""op"":""heal"",""target"":""self"",""amount"":4}]","""Heal {heal} HP.""","{""effects"":[{""op"":""heal"",""target"":""self"",""amount"":6}]}",,,,1,
"""bloodPact""","""Blood Pact""","""herald""","""common""",0,"""skill""",[],"""🩸""","[{""op"":""loseHp"",""target"":""self"",""amount"":2},{""op"":""gainEnergy"",""amount"":1},{""op"":""draw"",""amount"":1}]","""Lose {loseHp} HP. Gain {gainEnergy} Energy. Draw {draw} card.""","{""effects"":[{""op"":""loseHp"",""target"":""self"",""amount"":1},{""op"":""gainEnergy"",""amount"":1},{""op"":""draw"",""amount"":1}]}",,,,,
"""blightTouch""","""Blight Touch""","""herald""","""common""",1,"""attack""",[],"""🦠""","[{""op"":""damage"",""target"":""enemy"",""amount"":5},{""op"":""applyStatus"",""target"":""enemy"",""status"":""crimsonBlight"",""stacks"":2}]","""Deal {damage} damage. Apply {crimsonBlight} Crimson Blight.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":7},{""op"":""applyStatus"",""target"":""enemy"",""status"":""crimsonBlight"",""stacks"":3}]}","""arcane""",1,,,
"""flagellation""","""Flagellation""","""herald""","""common""",1,"""attack""",[],"""⛓""","[{""op"":""loseHp"",""target"":""self"",""amount"":2},{""op"":""damage"",""target"":""enemy"",""amount"":9}]","""Lose {loseHp} HP. Deal {damage} damage.""","{""effects"":[{""op"":""loseHp"",""target"":""self"",""amount"":2},{""op"":""damage"",""target"":""enemy"",""amount"":12}]}","""arcane""",1,,,
"""penance""","""Penance""","""herald""","""common""",1,"""skill""",[],"""🙏""","[{""op"":""block"",""target"":""self"",""amount"":5},{""op"":""heal"",""target"":""self"",""amount"":2}]","""Gain {block} Block. Heal {heal} HP.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":7},{""op"":""heal"",""target"":""self"",""amount"":3}]}",,,,,
"""litany""","""Litany""","""herald""","""common""",1,"""skill""",[],"""📿""","[{""op"":""applyStatus"",""target"":""enemy"",""status"":""weak"",""stacks"":2},{""op"":""applyStatus"",""target"":""enemy"",""status"":""insanity"",""stacks"":3}]","""Apply {weak} Weak and {insanity} Insanity.""","{""effects"":[{""op"":""applyStatus"",""target"":""enemy"",""status"":""weak"",""stacks"":3},{""op"":""applyStatus"",""target"":""enemy"",""status"":""insanity"",""stacks"":4}]}",,,,,
"""graveOffering""","""Grave Offering""","""herald""","""common""",2,"""attack""",[],"""🪦""","[{""op"":""loseHp"",""target"":""self"",""amount"":3},{""op"":""damage"",""target"":""allEnemies"",""amount"":7}]","""Lose {loseHp} HP. Deal {damage} damage to ALL enemies.""","{""effects"":[{""op"":""loseHp"",""target"":""self"",""amount"":3},{""op"":""damage"",""target"":""allEnemies"",""amount"":10}]}","""arcane""",1,,,
"""bloodletting""","""Bloodletting""","""herald""","""common""",0,"""skill""",[],"""🩸""","[{""op"":""loseHp"",""target"":""self"",""amount"":3},{""op"":""block"",""target"":""self"",""amount"":8}]","""Lose {loseHp} HP. Gain {block} Block.""","{""effects"":[{""op"":""loseHp"",""target"":""self"",""amount"":3},{""op"":""block"",""target"":""self"",""amount"":11}]}",,,,,
"""contagion""","""Contagion""","""herald""","""common""",1,"""skill""",[],"""☣""","[{""op"":""applyStatus"",""target"":""allEnemies"",""status"":""crimsonBlight"",""stacks"":2}]","""Apply {crimsonBlight} Crimson Blight to ALL enemies.""","{""effects"":[{""op"":""applyStatus"",""target"":""allEnemies"",""status"":""crimsonBlight"",""stacks"":3}]}",,,,,
"""cullTheWeak""","""Cull the Weak""","""herald""","""common""",1,"""attack""",[],"""🗡""","[{""op"":""damage"",""target"":""enemy"",""amount"":6},{""op"":""damage"",""target"":""enemy"",""amount"":4,""if"":{""p"":""hasStatus"",""of"":""target"",""status"":""crimsonBlight""}}]","""Deal {damage} damage. If the target has Crimson Blight: deal {damage.2} more.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":8},{""op"":""damage"",""target"":""enemy"",""amount"":6,""if"":{""p"":""hasStatus"",""of"":""target"",""status"":""crimsonBlight""}}]}","""arcane""",1,,,
"""transfusion""","""Transfusion""","""herald""","""common""",1,"""skill""",[],"""➕""","[{""op"":""heal"",""target"":""self"",""amount"":6}]","""Heal {heal} HP.""","{""effects"":[{""op"":""heal"",""target"":""self"",""amount"":9}]}",,,,,
"""blightward""","""Blightward""","""herald""","""common""",1,"""skill""",[],"""🛡""","[{""op"":""block"",""target"":""self"",""amount"":6},{""op"":""block"",""target"":""self"",""amount"":4,""if"":{""p"":""hpBelowPct"",""of"":""self"",""pct"":50}}]","""Gain {block} Block. If below half HP: gain {block.2} more.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":8},{""op"":""block"",""target"":""self"",""amount"":4,""if"":{""p"":""hpBelowPct"",""of"":""self"",""pct"":50}}]}",,,,,
"""martyrBlood""","""Martyr's Blood""","""herald""","""uncommon""",1,"""skill""","[""exhaust""]","""🥀""","[{""op"":""loseHp"",""target"":""self"",""amount"":5},{""op"":""gainEnergy"",""amount"":2},{""op"":""draw"",""amount"":2}]","""Lose {loseHp} HP. Gain {gainEnergy} Energy. Draw {draw} cards. Exhaust.""","{""effects"":[{""op"":""loseHp"",""target"":""self"",""amount"":3},{""op"":""gainEnergy"",""amount"":2},{""op"":""draw"",""amount"":2}]}",,,,,
"""blightBloom""","""Blight Bloom""","""herald""","""uncommon""",1,"""skill""","[""exhaust""]","""🌺""","[{""op"":""applyStatus"",""target"":""enemy"",""status"":""crimsonBlight"",""stacks"":{""f"":""stacks"",""status"":""crimsonBlight"",""of"":""target""}}]","""Double the target's Crimson Blight. Exhaust.""","{""keywords"":[],""textTemplate"":""Double the target's Crimson Blight.""}",,,,,
